epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,742.816,1.7695,4.50692,2.12292,0.42713,0.10277,0.03087,0.01108,2.22684,8.2904,3.31355,0.000221033,0.000221033,0.000221033
2,1590.12,1.66543,3.44384,2.00396,0.21899,0.29204,0.21524,0.0853,2.11074,4.31971,2.60506,0.000399473,0.000399473,0.000399473
3,2661.28,1.64782,2.81432,1.94671,0.42338,0.42468,0.39717,0.18899,1.84176,3.28896,2.13992,0.000533891,0.000533891,0.000533891
